python,sql,pandas,numpy,machine_learning,statistics,data_visualization,scikit_learn,experience_years,education_level,skill_match_percentage,job_readiness
1,1,1,1,1,1,1,1,3,2,90,92
1,1,1,1,1,1,1,1,2,2,85,88
1,1,1,1,1,1,0,1,2,2,80,83
1,1,1,1,1,0,1,1,2,2,75,78
1,1,1,1,1,0,0,1,1,2,70,72
1,1,1,1,0,1,0,1,2,2,65,68
1,1,1,0,1,0,1,0,2,2,60,64
1,1,1,0,0,1,0,0,1,2,55,58
1,1,0,1,0,0,1,0,1,2,50,54
1,1,0,0,0,1,0,0,1,2,45,49
1,0,1,1,0,0,0,0,1,2,40,45
1,0,0,1,0,0,0,0,0,1,35,40
1,0,0,0,0,0,0,0,0,1,25,30
0,1,1,1,0,0,1,0,1,2,45,48
0,1,0,1,0,0,0,0,1,1,35,39
0,0,1,0,0,0,0,0,0,1,20,25
0,0,0,1,0,0,0,0,0,1,15,20
1,1,1,1,1,1,1,0,4,2,88,90
1,1,1,1,0,1,1,1,3,2,82,85
1,1,1,0,1,1,0,1,3,2,78,81
1,1,0,1,1,0,0,1,2,2,72,76
1,0,1,1,1,0,1,1,2,2,68,72
0,1,1,1,1,0,0,1,2,2,65,69
0,1,1,0,0,0,1,0,1,2,45,50
1,0,0,1,0,1,0,0,1,1,40,45
0,0,1,1,0,0,0,0,1,1,30,35
1,1,0,0,1,1,0,1,2,2,65,70
1,0,1,0,1,0,1,0,2,2,55,60
0,1,1,0,1,0,0,0,1,2,50,55
0,0,0,1,1,0,0,0,1,1,30,36
