python,sql,pandas,numpy,machine_learning,statistics,data_visualization,scikit_learn,experience_years,education_level,skill_match_percentage,job_readiness
0,0,1,0,0,0,0,0,4,2,12,27.92
0,0,0,0,0,1,0,1,4,2,25,42.84
0,0,1,1,1,0,0,1,0,1,50,31.3
1,1,1,0,1,0,1,0,4,2,62,63.39
1,0,0,0,0,1,0,0,0,2,25,21.53
1,0,1,1,0,1,0,0,4,3,50,55.95
1,1,1,0,1,0,0,0,2,2,50,43.18
0,1,0,1,1,1,0,1,1,1,62,45.55
1,1,1,1,0,0,1,0,0,1,62,35.63
0,1,0,1,1,1,1,0,5,3,62,65.25
1,1,0,1,1,0,1,0,5,3,62,66.73
0,0,1,0,0,1,0,0,4,2,25,39.64
0,1,1,0,0,0,0,0,5,2,25,46.91
0,0,1,0,1,1,0,0,5,2,38,49.89
1,1,1,0,0,0,0,1,0,3,50,43.04
0,0,0,0,0,0,0,1,0,3,12,18.98
1,0,0,1,0,1,1,0,0,1,50,34.09
1,1,1,1,0,0,0,1,5,2,62,67.11
0,0,0,0,1,0,1,0,2,2,25,29.25
0,1,0,0,0,0,0,0,3,2,12,28.41
1,0,0,1,0,1,1,1,2,2,62,54.07
1,0,0,1,0,0,0,1,0,1,38,26.74
0,0,0,0,0,0,0,1,0,3,12,19.06
0,0,1,1,1,0,1,0,2,2,50,41.81
1,1,1,0,0,1,0,0,4,1,50,48.56
0,1,0,0,1,1,0,1,4,3,50,56.53
0,1,0,0,1,0,0,0,2,2,25,32.8
1,0,1,1,1,0,0,1,2,1,62,42.14
0,1,0,1,1,0,0,0,5,1,38,46.36
1,0,1,0,0,1,1,0,2,1,50,42.32
0,1,1,0,0,0,0,1,0,1,38,28.27
1,1,0,1,0,0,1,0,3,1,50,41.5
1,1,1,0,0,0,0,1,2,2,50,49.14
1,1,1,1,0,0,1,0,4,2,62,55.48
1,1,1,1,0,1,0,1,0,3,75,55.61
0,1,1,0,1,1,0,1,4,2,62,61.77
1,1,1,0,0,1,1,0,4,3,62,63.11
0,1,1,0,1,1,1,1,3,3,75,65.39
1,0,0,1,1,0,0,1,1,1,50,32.97
0,0,1,0,1,1,0,1,3,2,50,46.94
0,0,1,0,0,1,0,0,0,2,25,20.08
1,1,1,1,1,0,1,1,2,1,88,64.8
1,1,0,1,1,0,1,0,2,2,62,50.3
0,0,0,0,1,0,0,0,3,2,12,26.91
1,1,0,0,1,1,0,1,3,1,62,55.53
1,1,1,0,1,0,1,1,3,1,75,57.14
1,0,1,0,0,1,0,0,5,2,38,47.26
1,0,0,1,1,1,0,1,2,2,62,54.71
1,1,1,1,0,1,0,0,2,1,62,48.6
0,0,0,0,0,0,0,0,3,3,0,23.14
0,1,1,1,0,0,0,1,0,3,50,37.76
1,1,1,0,0,0,0,1,5,3,50,65.56
0,1,1,1,0,1,0,1,3,1,62,50.44
1,1,0,1,0,1,1,1,3,3,75,69.17
1,0,0,1,1,0,1,1,2,1,62,47.04
1,0,1,0,1,1,1,1,4,3,75,76.05
0,0,0,0,1,1,0,1,5,3,38,55.81
0,0,1,0,1,0,1,1,3,3,50,54.81
1,1,1,1,1,1,1,0,0,3,88,60.33
0,0,0,0,1,1,1,0,1,2,38,32.17
0,1,0,0,1,0,0,1,5,1,38,47.28
1,0,0,1,1,1,1,1,1,1,75,47.77
1,0,0,1,1,0,0,0,1,3,38,44.39
0,0,0,1,0,1,1,1,2,3,50,55.4
1,0,0,0,0,1,0,0,1,1,25,23.27
0,0,1,1,1,1,0,0,2,3,50,48.33
1,0,0,1,0,1,0,0,5,1,38,49.98
0,0,0,0,1,1,1,0,3,3,38,45.94
1,1,1,1,0,0,1,1,4,2,75,62.51
0,0,1,0,0,1,1,1,1,3,50,45.86
1,0,1,1,1,1,1,0,1,2,75,54.37
1,1,1,0,1,0,1,1,2,1,75,58.95
1,0,1,1,0,0,1,1,5,2,62,66.7
0,1,0,1,1,1,0,0,5,3,50,65.49
0,1,0,1,0,0,0,1,0,3,38,39.22
1,1,1,1,1,1,0,1,4,1,88,68.24
0,0,1,1,1,1,0,1,5,2,62,67.47
1,0,1,1,1,1,1,1,2,1,88,66.21
0,1,0,1,0,1,1,1,3,3,62,64.02
0,1,0,0,1,0,1,0,4,2,38,42.05
0,1,0,0,1,1,1,1,5,1,62,62.62
1,1,1,0,0,0,1,0,5,1,50,51.84
0,0,1,0,1,0,0,1,0,2,38,29.48
1,0,0,1,0,0,0,0,4,2,25,40.95
0,1,0,0,1,1,1,1,5,1,62,63.09
1,1,0,0,1,1,1,1,5,2,75,70.82
1,0,1,1,0,0,1,1,4,2,62,65.03
1,0,1,1,0,0,1,1,1,3,62,56.12
0,0,1,0,0,0,1,1,0,3,38,34.55
0,0,1,1,1,0,0,0,4,2,38,47.21
1,0,1,1,1,1,0,1,0,1,75,48.79
0,1,1,0,1,0,1,0,3,2,50,51.23
1,1,1,0,0,1,0,1,4,1,62,56.58
1,1,1,0,0,0,0,1,3,1,50,40.47
0,1,1,1,1,0,1,0,3,3,62,60.18
1,0,1,0,1,1,0,1,0,3,62,47.77
1,0,1,1,0,0,1,0,5,1,50,53.92
0,0,1,0,0,0,0,0,4,1,12,30.73
0,1,0,0,1,0,0,1,1,1,38,31.51
0,0,0,1,0,1,0,0,2,1,25,23.02
1,0,0,1,1,1,0,1,4,1,62,59.55
0,1,1,0,0,1,1,1,5,1,62,59.0
1,0,0,1,0,0,0,1,4,3,38,52.75
1,1,1,1,1,0,0,0,3,2,62,59.98
1,1,1,1,1,0,1,1,2,3,88,68.95
0,1,0,0,0,0,1,0,5,3,25,47.48
0,0,1,0,1,1,1,0,2,3,50,48.62
0,0,0,1,0,0,1,1,0,2,38,31.64
1,0,1,0,0,1,1,1,2,1,62,43.91
0,1,0,0,0,0,0,1,3,2,25,34.16
1,1,1,0,0,0,0,0,5,1,38,43.62
1,1,1,1,1,0,0,1,3,1,75,56.08
1,1,0,0,1,0,0,0,2,1,38,36.57
1,1,1,0,0,1,1,0,1,2,62,48.43
0,1,0,1,0,1,0,1,0,2,50,38.26
1,1,1,0,1,0,1,0,4,2,62,63.42
1,0,1,0,0,1,1,0,3,2,50,51.96
0,1,0,0,0,0,1,1,5,3,38,59.05
0,0,0,1,0,0,0,0,1,3,12,25.54
1,1,1,0,1,0,1,1,5,2,75,74.21
0,1,0,1,1,1,0,0,2,2,50,41.27
0,1,1,0,1,0,1,1,4,1,62,59.68
1,0,1,0,0,0,0,1,3,3,38,48.13
0,1,1,1,1,1,1,0,5,3,75,74.6
1,0,1,1,1,0,1,0,4,3,62,61.51
1,1,1,0,0,1,1,1,1,3,75,62.28
0,1,1,0,1,1,0,0,2,2,50,42.42
0,0,0,1,0,0,1,0,4,2,25,36.29
0,0,1,0,1,1,0,1,4,2,50,56.02
1,0,0,1,1,0,1,1,3,2,62,58.88
1,0,0,0,1,0,1,1,4,1,50,50.61
0,1,0,0,1,1,0,1,0,1,50,35.67
1,0,1,0,1,1,0,1,0,2,62,41.35
1,0,1,0,0,0,1,1,5,1,50,55.09
1,1,0,0,0,1,0,0,4,3,38,52.99
1,0,1,0,1,0,0,0,3,3,38,50.84
1,0,0,1,0,0,0,1,3,1,38,39.05
0,1,0,0,1,0,0,1,3,1,38,39.26
1,1,0,1,0,1,0,0,4,3,50,61.07
0,0,1,1,0,1,1,0,1,1,50,38.66
1,0,1,0,0,0,0,1,2,3,38,42.88
1,1,0,0,1,1,0,1,2,1,62,50.09
1,1,1,1,1,0,1,1,2,3,88,69.07
0,1,0,1,0,1,1,0,0,2,50,39.11
1,1,1,0,1,1,1,0,5,2,75,72.4
1,1,0,0,1,1,0,0,1,3,50,48.28
1,0,0,0,0,1,1,1,4,1,50,49.55
1,1,1,1,0,0,1,1,2,3,75,62.04
0,0,0,1,1,0,1,1,5,2,50,54.65
1,1,0,0,0,0,1,0,5,2,38,55.87
1,1,0,1,1,0,0,1,4,1,62,51.31
0,0,0,1,0,1,1,1,4,1,50,49.62
0,0,1,1,1,1,1,0,1,2,62,49.52
1,1,1,0,0,0,1,0,0,3,50,39.03
0,0,1,0,1,1,0,1,1,3,50,51.06
1,0,1,0,0,0,0,1,4,1,38,45.15
0,0,0,1,0,1,0,1,5,3,38,53.8
1,1,0,1,1,1,0,0,1,2,62,47.26
1,0,1,0,1,1,1,1,1,2,75,55.4
0,1,0,1,0,1,1,0,1,1,50,32.01
1,1,0,0,1,1,0,0,3,3,50,54.17
1,1,0,0,1,1,0,0,4,2,50,48.99
1,1,1,1,0,0,1,0,2,3,62,55.76
1,1,0,1,0,0,1,1,0,2,62,44.14
1,0,0,0,1,1,1,1,1,1,62,44.12
1,0,0,0,0,1,1,1,1,3,50,50.43
0,1,1,0,1,1,1,1,5,3,75,74.25
0,1,1,0,1,1,0,1,2,3,62,59.93
0,0,1,0,1,0,0,0,4,3,25,40.85
0,1,1,1,0,1,0,1,4,3,62,69.31
0,0,0,1,1,1,1,0,3,3,50,52.92
1,1,1,0,0,1,1,0,2,2,62,54.15
1,1,1,1,1,1,0,1,3,2,88,74.95
0,1,0,1,0,1,1,1,5,2,62,61.24
1,1,0,0,0,0,0,0,5,1,25,34.27
1,1,1,0,0,0,0,1,5,2,50,57.27
0,1,1,1,0,0,0,0,1,2,38,38.72
0,0,1,1,0,1,0,0,2,3,38,44.93
1,1,1,1,0,1,1,0,0,2,75,47.87
1,1,0,0,1,1,0,0,4,3,50,62.47
1,1,0,1,0,0,0,1,2,1,50,35.57
1,0,1,1,1,1,0,1,5,2,75,73.18
0,0,1,1,0,1,1,0,5,2,50,56.18
0,0,0,1,0,1,1,1,5,3,50,66.63
0,0,0,1,1,0,0,0,4,3,25,41.77
0,0,1,1,0,0,1,0,4,2,38,49.99
1,0,1,1,0,1,1,0,3,2,62,59.26
0,0,0,1,1,0,0,0,3,1,25,28.62
0,0,1,1,1,1,1,1,0,3,75,60.89
0,1,0,0,1,0,0,0,0,2,25,23.38
1,1,0,0,1,1,0,1,1,3,62,55.75
0,1,0,0,0,0,0,0,3,3,12,35.32
0,0,0,1,1,0,0,0,1,3,25,37.68
0,1,1,0,1,0,0,1,2,2,50,41.11
0,1,1,0,1,1,1,1,3,1,75,56.25
0,1,0,0,1,0,1,0,4,2,38,51.58
0,1,0,1,0,1,0,1,2,1,50,40.86
0,0,1,1,0,0,0,0,3,1,25,34.44
1,1,0,0,0,0,1,0,5,3,38,57.94
1,0,1,1,1,1,1,1,2,2,88,66.53
1,1,0,1,1,0,1,1,3,1,75,58.88
0,0,0,1,1,1,0,0,2,1,38,32.7
0,1,1,1,1,1,1,0,5,2,75,67.94
1,0,0,0,0,0,0,1,1,3,25,30.06
0,0,0,1,1,0,1,1,0,1,50,32.82
1,0,0,1,1,0,1,0,0,1,50,32.74
0,0,1,1,1,1,0,1,3,2,62,56.75
0,1,0,0,0,1,1,1,4,2,50,49.06
0,0,0,1,1,1,0,0,1,1,38,33.91
1,1,0,0,1,0,0,1,0,1,50,33.37
1,0,1,0,0,1,1,1,5,1,62,62.0
0,1,0,0,1,0,0,1,4,3,38,56.45
1,1,0,1,1,1,0,1,4,2,75,66.57
1,0,1,0,0,0,1,0,3,3,38,50.74
0,1,1,1,0,0,0,1,3,2,50,52.11
0,0,0,0,1,1,1,0,0,1,38,24.44
0,1,1,0,1,1,1,0,5,3,62,73.15
0,0,1,0,0,1,1,1,3,1,50,40.13
1,1,1,1,1,0,1,1,1,3,88,68.65
0,1,0,0,1,0,1,1,4,2,50,56.54
1,1,1,1,0,1,1,0,3,2,75,60.03
1,1,1,1,0,1,1,1,3,2,88,66.54
0,0,0,1,0,1,1,0,3,3,38,47.89
1,0,1,0,1,1,0,1,4,2,62,60.92
1,0,1,0,0,0,1,0,5,3,38,51.34
1,1,1,0,0,0,1,0,4,3,50,58.69
0,1,1,1,1,0,1,0,3,1,62,49.05
0,0,0,1,1,1,1,0,4,2,50,51.98
0,1,1,1,0,1,0,0,0,2,50,38.98
0,0,0,0,1,1,1,0,3,3,38,44.74
1,1,0,0,1,1,1,0,5,1,62,56.16
0,0,0,1,1,0,1,0,2,3,38,47.53
1,1,1,0,1,1,1,0,5,3,75,79.26
0,0,1,0,0,1,0,0,2,3,25,33.16
1,1,0,1,1,0,1,0,4,1,62,55.0
0,0,1,1,0,1,0,1,1,1,50,39.65
1,1,1,1,1,1,0,0,4,1,75,65.21
0,1,0,1,0,1,0,1,4,3,50,61.23
1,0,0,1,1,0,1,0,3,1,50,46.86
0,1,0,1,1,1,0,1,0,1,62,36.2
1,1,0,0,0,0,0,1,4,2,38,47.87
0,1,1,1,1,0,0,1,0,2,62,47.77
0,0,0,0,1,0,1,1,1,3,38,41.22
1,1,1,0,0,1,1,1,3,2,75,61.52
0,0,1,1,0,1,0,1,1,2,50,39.19
1,1,0,1,1,0,0,0,5,2,50,52.66
0,1,1,0,1,0,0,1,1,2,50,37.43
1,1,0,1,0,0,1,1,5,3,62,71.65
1,0,0,0,0,1,0,0,4,1,25,34.94
1,0,0,1,0,1,0,1,0,1,50,31.33
0,0,1,1,1,0,1,0,5,3,50,58.93
0,0,1,1,0,0,1,1,1,1,50,40.47
0,0,1,1,1,1,0,0,2,3,50,46.34
1,0,1,0,0,1,1,0,1,2,50,40.36
0,1,0,0,1,1,0,1,4,2,50,52.15
0,1,0,0,0,0,1,0,0,1,25,23.24
1,1,1,1,1,0,0,1,0,2,75,47.04
0,0,1,1,0,1,1,0,0,1,50,28.36
1,0,1,0,1,0,0,0,5,1,38,47.91
0,1,1,1,0,1,0,1,5,1,62,61.81
0,1,1,1,0,1,0,1,3,3,62,59.7
1,0,1,0,1,0,0,0,5,3,38,50.93
0,0,0,1,1,1,0,0,0,3,38,38.93
1,0,1,0,1,1,1,0,4,2,62,56.29
0,0,0,0,1,0,1,1,2,2,38,34.76
1,0,1,0,1,1,0,1,2,3,62,61.82
0,0,0,0,1,0,0,1,5,3,25,52.52
1,0,1,1,0,0,0,1,3,1,50,49.23
0,1,0,0,0,1,1,1,5,1,50,53.31
0,1,0,0,1,0,0,1,2,2,38,43.16
1,1,1,1,1,0,0,0,1,3,62,49.19
0,0,1,1,1,1,0,1,1,2,62,46.18
1,0,0,0,1,0,0,1,1,1,38,32.01
1,1,0,1,1,0,0,1,3,3,62,63.58
0,0,1,0,0,0,0,0,1,1,12,12.58
1,1,0,1,0,0,0,0,5,2,38,53.99
